Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55848225,"Chór Świtu (Czas Żniw, #3.5)",Samantha Shannon,"Shannon, Samantha",Maciej Pawlak,"=""8382101135""","=""9788382101133""",2,4.17,Sine Qua Non,Paperback,144,2020,2020,2023/07/21,2023/02/08,,,read,,,,1,0
34642593,"Pieśń jutra (Czas Żniw, #3)",Samantha Shannon,"Shannon, Samantha",Regina Kołek,"=""8379245660""","=""9788379245666""",3,4.20,Sine Qua Non,Paperback,432,2017,2017,2023/07/04,2023/02/08,,,read,Gdyby paige się wyjebała dałbym 5/5 ,,,1,0
16205681,Osobliwy dom pani Peregrine,Ransom Riggs,"Riggs, Ransom",Małgorzata Hesko-Kołodzińska,"=""8372786461""","=""9788372786463""",5,3.92,Media Rodzina,Hardcover,398,2012,2011,2023/06/13,2023/06/07,,,read,,,,1,0
122783614,"Wszystkie nasze klęski (Villains, #2)",Amanda Foody,"Foody, Amanda","C.L. Herman, Janusz Maćczak","=""8383213158""","=""9788383213156""",5,3.85,Young,Paperback,616,2023,2022,2023/06/05,2023/05/20,,,read,,,,1,0
71897537,Żuchwa Kaina,E. Powys Mathers,"Mathers, E. Powys",Natalia Wiśniewska,"=""8367616944""","=""9788367616942""",0,3.79,Poznańskie,Paperback,216,2023,1934,,2023/06/02,to-read,to-read (#2),to-read,,,,0,0
10994518,Morderstwo w Orient Expressie (Hercule Poirot #10),Agatha Christie,"Christie, Agatha",Anna Wiśniewska-Walczyk,"=""""","=""9788324589722""",5,4.20,Wydawnictwo Dolnośląskie ,Paperback,264,2010,1934,2023/05/28,2023/03/18,,,read,,,,1,0
20754378,"Wielka Czwórka (Hercule Poirot, #5)",Agatha Christie,"Christie, Agatha",Jolanta Bartosik,"=""8324592318""","=""9788324592319""",5,3.57,Wydawnictwo Dolnośląskie,Paperback,200,2012,1927,2023/05/19,2023/03/14,,,read,,,,1,0
34829305,"Ludzie, którzy szli",Tadeusz Borowski,"Borowski, Tadeusz",,"=""""","=""""",2,3.78,EmpikGO,ebook,15,2018,1946,,2023/05/18,,,read,,,,1,0
32994279,O wartościach odmienności,Samantha Shannon,"Shannon, Samantha",,"=""8379247485""","=""9788379247486""",3,3.89,Sine Qua Non,ebook,50,2016,2015,2023/04/16,2023/04/14,,,read,,,,1,0
25425898,"Zakon Mimów (Czas Żniw, #2)",Samantha Shannon,"Shannon, Samantha",Regina Kołek,"=""8379243382""","=""9788379243389""",5,4.22,Sine Qua Non,Paperback,544,2015,2015,2023/04/09,2023/02/08,,,read,,,,1,0
